coname,gvkey,year,cusip,exchange,city,state,zip,spcode,ticker
EXLSERVICE HOLDINGS INC,162449,2019,30208110,NAS,New York,NY,10017,SM,EXLS
HIGHPOINT RESOURCES CORP,162459,2019,43114K20,NYS,Denver,CO,80202,EX,HPR
AXOS FINANCIAL INC,162560,2019,05465C10,NYS,Las Vegas,NV,89148,SM,AX
CORE MARK HOLDING CO INC,162876,2019,21868110,NAS,Westlake,TX,76262,SM,CORE
DEXCOM INC,162887,2019,25213110,NAS,San Diego,CA,92121,SP,DXCM
IHS MARKIT LTD,162906,2019,G4756710,NYS,London,,EC2Y,SP,INFO
ZUMIEZ INC,162988,2019,98981710,NAS,Lynnwood,WA,98036,SM,ZUMZ
BUILDERS FIRSTSOURCE,163036,2019,12008R10,NAS,Dallas,TX,75201,MD,BLDR
KOPPERS HOLDINGS INC,163113,2019,50060P10,NYS,Pittsburgh,PA,15219,SM,KOP
INTERCONTINENTAL EXCHANGE,163610,2019,45866F10,NYS,Atlanta,GA,30328,SP,ICE
LINCOLN EDUCATIONAL SERVICES,163668,2019,53353510,NAS,West Orange,NJ,07052,EX,LINC
COOPER-STANDARD HOLDINGS INC,163765,2019,21676P10,NYS,Northville,MI,48168,SM,CPS
FRANKLIN STREET PROPERTIES,163884,2019,35471R10,ASE,Wakefield,MA,01880,SM,FSP
RUTHS HOSPITALITY GROUP INC,163891,2019,78333210,NAS,Winter Park,FL,32789,SM,RUTH
JAMES RIVER GROUP HLDGS LTD,163924,2019,G5005R10,NAS,Pembroke,,HM 08,SM,JRVR
CF INDUSTRIES HOLDINGS INC,163946,2019,12526910,NYS,Deerfield,IL,60015,SP,CF
TREEHOUSE FOODS INC,163983,2019,89469A10,NYS,Oak Brook,IL,60523,MD,THS
RETAIL PPTYS OF AMERICA INC,164132,2019,76131V20,NYS,Oak Brook,IL,60523,SM,RPAI
DISCOVERY INC,164296,2019,25470F10,NAS,Silver Spring,MD,20910,SP,DISCA
TRONOX HOLDINGS PLC,164363,2019,G9087Q10,NYS,Stamford,CT,06901,EX,TROX
INVESTORS BANCORP INC,164364,2019,46146L10,NAS,Short Hills,NJ,07078,SM,ISBC
IROBOT CORP,164416,2019,46272610,NAS,Bedford,MA,01730,SM,IRBT
RESTAURANT BRANDS INTL INC,164471,2019,76131D10,NYS,Toronto,ON,M5X 1,EX,QSR
AMERISAFE INC,164572,2019,03071H10,NAS,Deridder,LA,70634,SM,AMSF
HOME BANCSHARES INC,164633,2019,43689320,NAS,Conway,AR,72032,MD,HOMB
AMERIPRISE FINANCIAL INC,164708,2019,03076C10,NYS,Minneapolis,MN,55474,SP,AMP
CROCS INC,164755,2019,22704610,NAS,Broomfield,CO,80020,MD,CROX
UNDER ARMOUR INC,165052,2019,90431110,NYS,Baltimore,MD,21230,SP,UAA
LEIDOS HOLDINGS INC,165123,2019,52532710,NYS,Reston,VA,20190,SP,LDOS
FIDELITY NATL FINL FNF GROUP,165264,2019,31620R30,NYS,Jacksonville,FL,32204,EX,FNF
VIACOM INC,165675,2019,92553P20,NAS,New York,NY,10036,EX,VIAB
LIVE NATION ENTERTAINMENT,165746,2019,53803410,NYS,Beverly Hills,CA,90210,SP,LYV
CHIPOTLE MEXICAN GRILL INC,165914,2019,16965610,NYS,Newport Beach,CA,92660,SP,CMG
FIDELITY NATIONAL INFO SVCS,165993,2019,31620M10,NYS,Jacksonville,FL,32204,SP,FIS
LIQUIDITY SERVICES INC,166213,2019,53635B10,NAS,Bethesda,MD,20814,SM,LQDT
KRATON CORP,166230,2019,50077C10,NYS,Houston,TX,77032,SM,KRA
VANDA PHARMACEUTICALS INC,166435,2019,92165910,NAS,Washington,DC,20037,SM,VNDA
VONAGE HOLDINGS CORP,166562,2019,92886T20,NAS,Holmdel,NJ,07733,SM,VG
SYNCHRONOSS TECHNOLOGIES,166593,2019,87157B10,NAS,Bridgewater,NJ,08807,EX,SNCR
