coname,gvkey,year,cusip,exchange,city,state,zip,spcode,ticker
AAR CORP,001004,2019,00036110,NYS,Wood Dale,IL,60191,SM,AIR
AMERICAN AIRLINES GROUP INC,001045,2019,02376R10,NAS,Fort Worth,TX,76155,SP,AAL
PINNACLE WEST CAPITAL CORP,001075,2019,72348410,NYS,Phoenix,AZ,85072,SP,PNW
PROG HOLDINGS INC,001076,2019,74319R10,NYS,Draper,UT,84020,MD,PRG
ABBOTT LABORATORIES,001078,2019,00282410,NYS,North Chicago,IL,60064,SP,ABT
ADVANCED MICRO DEVICES,001161,2019,00790310,NAS,Santa Clara,CA,95054,SP,AMD
AIR PRODUCTS & CHEMICALS INC,001209,2019,00915810,NYS,Allentown,PA,18195,SP,APD
ALASKA AIR GROUP INC,001230,2019,01165910,NYS,Seattle,WA,98188,SP,ALK
MATSON INC,001254,2019,57686G10,NYS,Honolulu,HI,96819,SM,MATX
ALLEGHANY CORP,001274,2019,01717510,NYS,New York,NY,10018,MD,Y
HONEYWELL INTERNATIONAL INC,001300,2019,43851610,NAS,Charlotte,NC,28202,SP,HON
SKYWORKS SOLUTIONS INC,001327,2019,83088M10,NAS,Irvine,CA,92617,SP,SWKS
HESS CORP,001380,2019,42809H10,NYS,New York,NY,10036,SP,HES
ABM INDUSTRIES INC,001410,2019,00095710,NYS,New York,NY,10006,SM,ABM
PRIMERICA INC,001414,2019,74164M10,NYS,Duluth,GA,30099,MD,PRI
US ECOLOGY INC,001439,2019,91734M10,NAS,Boise,ID,83702,SM,ECOL
AMERICAN ELECTRIC POWER CO,001440,2019,02553710,NAS,Columbus,OH,43215,SP,AEP
AMERICAN EXPRESS CO,001447,2019,02581610,NYS,New York,NY,10285,SP,AXP
AFLAC INC,001449,2019,00105510,NYS,Columbus,GA,31999,SP,AFL
AMERICAN INTERNATIONAL GROUP,001487,2019,02687478,NYS,New York,NY,10038,SP,AIG
AMERICAN VANGUARD CORP,001585,2019,03037110,NYS,Newport Beach,CA,92660,SM,AVD
AMETEK INC,001598,2019,03110010,NYS,Berwyn,PA,19312,SP,AME
AMGEN INC,001602,2019,03116210,NAS,Thousand Oaks,CA,91320,SP,AMGN
ANALOG DEVICES,001632,2019,03265410,NAS,Norwood,MA,02062,SP,ADI
ANDERSONS INC,001659,2019,03416410,NAS,Maumee,OH,43537,SM,ANDE
NABORS INDUSTRIES LTD,001661,2019,G6359F13,NYS,Hamilton,,HM 08,SM,NBR
APA CORP,001678,2019,03743Q10,NAS,Houston,TX,77056,SP,APA
APOGEE ENTERPRISES INC,001686,2019,03759810,NAS,Minneapolis,MN,55435,SM,APOG
APPLE INC,001690,2019,03783310,NAS,Cupertino,CA,95014,SP,AAPL
APPLIED MATERIALS INC,001704,2019,03822210,NAS,Santa Clara,CA,95052,SP,AMAT
ENERPAC TOOL GROUP CORP,001706,2019,29276510,NYS,Menomonee Falls,WI,53051,SM,EPAC
ARCHER-DANIELS-MIDLAND CO,001722,2019,03948310,NYS,Chicago,IL,60601,SP,ADM
ARCBEST CORP,001743,2019,03937C10,NAS,Fort Smith,AR,72916,SM,ARCB
ARROW ELECTRONICS INC,001773,2019,04273510,NYS,Centennial,CO,80112,MD,ARW
ASHLAND GLOBAL HOLDINGS INC,001794,2019,04418610,NYS,Covington,KY,41011,MD,ASH
REX AMERICAN RESOURCES CORP,001864,2019,76162410,NYS,Dayton,OH,45459,SM,REX
AUTODESK INC,001878,2019,05276910,NAS,San Rafael,CA,94903,SP,ADSK
AUTOMATIC DATA PROCESSING,001891,2019,05301510,NAS,Roseland,NJ,07068,SP,ADP
AVERY DENNISON CORP,001913,2019,05361110,NYS,Glendale,CA,91203,SP,AVY
AVNET INC,001919,2019,05380710,NAS,Phoenix,AZ,85034,MD,AVT
AZZ INC,001926,2019,00247410,NYS,Fort Worth,TX,76107,SM,AZZ
BADGER METER INC,001968,2019,05652510,NYS,Milwaukee,WI,53224,SM,BMI
BALCHEM CORP  -CL B,001979,2019,05766520,NAS,New Hampton,NY,10958,SM,BCPC
BALL CORP,001988,2019,05849810,NYS,Westminster,CO,80021,SP,BLL
POPULAR INC,002002,2019,73317470,NAS,Hato Rey,PR,00918,EX,BPOP
BANK OF HAWAII CORP,002005,2019,06254010,NYS,Honolulu,HI,96813,MD,BOH
BANK OF NEW YORK MELLON CORP,002019,2019,06405810,NYS,New York,NY,10286,SP,BK
BARNES GROUP INC,002049,2019,06780610,NYS,Bristol,CT,06010,SM,B
BARRICK GOLD CORP,002055,2019,06790110,NYS,Toronto,ON,M5J 2,EX,GOLD
BASSETT FURNITURE INDS,002080,2019,07020310,NAS,Bassett,VA,24055,EX,BSET
BAXTER INTERNATIONAL INC,002086,2019,07181310,NYS,Deerfield,IL,60015,SP,BAX
APPLIED INDUSTRIAL TECH INC,002101,2019,03820C10,NYS,Cleveland,OH,44115,SM,AIT
BECTON DICKINSON & CO,002111,2019,07588710,NYS,Franklin Lakes,NJ,07417,SP,BDX
BEL FUSE INC,002124,2019,07734730,NAS,Jersey City,NJ,07302,SM,BELFB
VERIZON COMMUNICATIONS INC,002136,2019,92343V10,NYS,New York,NY,10036,SP,VZ
BERKSHIRE HATHAWAY,002176,2019,08467070,NYS,Omaha,NE,68131,SP,BRK.B
BEST BUY CO INC,002184,2019,08651610,NYS,Richfield,MN,55423,SP,BBY
BIO-RAD LABORATORIES INC,002220,2019,09057220,NYS,Hercules,CA,94547,SP,BIO
BLACK HILLS CORP,002259,2019,09211310,NYS,Rapid City,SD,57702,MD,BKH
BLOCK H & R INC,002269,2019,09367110,NYS,Kansas City,MO,64105,MD,HRB
VALARIS LTD,002270,2019,G9460G10,NYS,Hamilton,,HM 11,EX,VAL
BOEING CO,002285,2019,09702310,NYS,Chicago,IL,60606,SP,BA
ROBERT HALF INTL INC,002312,2019,77032310,NYS,Menlo Park,CA,94025,SP,RHI
HEXION INC,002316,2019,60899Z00,OTH,Columbus,OH,43215,EX,0141A
RESOLUTE FOREST PRODUCTS INC,002337,2019,76117W10,NYS,Montreal,QC,H3C 2,EX,RFP
BRADY CORP,002352,2019,10467410,NYS,Milwaukee,WI,53223,SM,BRC
BRIGGS & STRATTON,002393,2019,10904310,OTH,Wauwatosa,WI,53222,EX,BGGSQ
BRISTOL-MYERS SQUIBB CO,002403,2019,11012210,NYS,New York,NY,10016,SP,BMY
BROWN FORMAN CORP,002435,2019,11563720,NYS,Louisville,KY,40210,SP,BF.B
CALERES INC,002436,2019,12950010,NYS,Saint Louis,MO,63105,SM,CAL
BRUNSWICK CORP,002444,2019,11704310,NYS,Mettawa,IL,60045,MD,BC
MATERION CORP,002448,2019,57669010,NYS,Mayfield Heights,OH,44124,SM,MTRN
MASTEC INC,002497,2019,57632310,NYS,Coral Gables,FL,33134,MD,MTZ
UNISYS CORP,002504,2019,90921430,NYS,Blue Bell,PA,19422,SM,UIS
LIVERAMP HOLDINGS INC,002536,2019,53815P10,NYS,San Francisco,CA,94104,MD,RAMP
CIGNA CORP,002547,2019,12552310,NYS,Bloomfield,CT,06002,SP,CI
CNA FINANCIAL CORP,002558,2019,12611710,NYS,Chicago,IL,60606,EX,CNA
CSX CORP,002574,2019,12640810,NAS,Jacksonville,FL,32202,SP,CSX
CTS CORP,002577,2019,12650110,NYS,Lisle,IL,60532,SM,CTS
CABOT CORP,002593,2019,12705510,NYS,Boston,MA,02210,MD,CBT
CACI INTL INC  -CL A,002596,2019,12719030,NYS,Arlington,VA,22201,MD,CACI
CALAMP CORP,002615,2019,12812610,NAS,Irvine,CA,92618,SM,CAMP
CALIFORNIA WATER SERVICE GP,002628,2019,13078810,NYS,San Jose,CA,95112,SM,CWT
CAMPBELL SOUP CO,002663,2019,13442910,NYS,Camden,NJ,08103,SP,CPB
CONSTELLATION BRANDS,002710,2019,21036P10,NYS,Victor,NY,14564,SP,STZ
CARDINAL HEALTH INC,002751,2019,14149Y10,NYS,Dublin,OH,43017,SP,CAH
CARLISLE COS INC,002771,2019,14233910,NYS,Scottsdale,AZ,85254,MD,CSL
CARPENTER TECHNOLOGY CORP,002787,2019,14428510,NYS,Philadelphia,PA,19103,SM,CRS
CASEYS GENERAL STORES INC,002807,2019,14752810,NAS,Ankeny,IA,50021,MD,CASY
CASTLE (A M) & CO,002811,2019,14841140,OTH,Oak Brook,IL,60523,EX,CTAM
CATERPILLAR INC,002817,2019,14912310,NYS,Deerfield,IL,60015,SP,CAT
CATO CORP  -CL A,002818,2019,14920510,NYS,Charlotte,NC,28273,SM,CATO
CAVCO INDUSTRIES INC,002820,2019,14956810,NAS,Phoenix,AZ,85012,SM,CVCO
CLECO CORP,002859,2019,12561W10,NYS,Pineville,LA,71360,EX,CNL
LUMEN TECHNOLOGIES INC,002884,2019,55024110,NYS,Monroe,LA,71203,SP,LUMN
MAGELLAN HEALTH INC,002940,2019,55907920,NAS,Phoenix,AZ,85034,SM,MGLN
CANTEL MEDICAL CORP,002942,2019,13809810,NYS,Little Falls,NJ,07424,EX,CMD
CHEMED CORP,002960,2019,16359R10,NYS,Cincinnati,OH,45202,MD,CHE
JPMORGAN CHASE & CO,002968,2019,46625H10,NYS,New York,NY,10179,SP,JPM
CHESAPEAKE UTILITIES CORP,002986,2019,16530310,NYS,Dover,DE,19904,SM,CPK
CHEVRON CORP,002991,2019,16676410,NYS,San Ramon,CA,94583,SP,CVX
BRINKER INTL INC,003007,2019,10964110,NYS,Dallas,TX,75019,SM,EAT
CHURCH & DWIGHT INC,003026,2019,17134010,NYS,Ewing,NJ,08628,SP,CHD
CHURCHILL DOWNS INC,003028,2019,17148410,NAS,Louisville,KY,40222,MD,CHDN
CINCINNATI BELL INC,003036,2019,17187150,NYS,Cincinnati,OH,45202,SM,CBB
CINTAS CORP,003062,2019,17290810,NAS,Cincinnati,OH,45262,SP,CTAS
IHEARTMEDIA INC,003105,2019,45174J50,NAS,San Antonio,TX,78258,EX,IHRT
CLEVELAND-CLIFFS INC,003107,2019,18589910,NYS,Cleveland,OH,44114,MD,CLF
CLOROX CO/DE,003121,2019,18905410,NYS,Oakland,CA,94612,SP,CLX
COCA COLA CONSOLIDATED INC,003138,2019,19109810,NAS,Charlotte,NC,28211,SM,COKE
COCA-COLA CO,003144,2019,19121610,NYS,Atlanta,GA,30313,SP,KO
COEUR MINING INC,003153,2019,19210850,NYS,Chicago,IL,60603,EX,CDE
COHERENT INC,003157,2019,19247910,NAS,Santa Clara,CA,95054,MD,COHR
COHU INC,003158,2019,19257610,NAS,Poway,CA,92064,SM,COHU
COLGATE-PALMOLIVE CO,003170,2019,19416210,NYS,New York,NY,10022,SP,CL
AON PLC,003221,2019,G0403H10,NYS,Dublin,,D01 K,SP,AON
COMCAST CORP,003226,2019,20030N10,NAS,Philadelphia,PA,19103,SP,CMCSA
COMERICA INC,003231,2019,20034010,NYS,Dallas,TX,75201,SP,CMA
COMMERCE BANCSHARES INC,003238,2019,20052510,NAS,Kansas City,MO,64106,MD,CBSH
CITIGROUP INC,003243,2019,17296742,NYS,New York,NY,10013,SP,C
COMMERCIAL METALS,003246,2019,20172310,NYS,Irving,TX,75039,MD,CMC
AVIS BUDGET GROUP INC,003278,2019,05377410,NAS,Parsippany,NJ,07054,MD,CAR
DXC TECHNOLOGY CO,003336,2019,23355L10,NYS,Tysons,VA,22102,SP,DXC
COMPUTER TASK GROUP INC,003342,2019,20547710,NAS,Amherst,NY,14226,EX,CTG
COMTECH TELECOMMUN,003358,2019,20582620,NAS,Melville,NY,11747,SM,CMTL
CONAGRA BRANDS INC,003362,2019,20588710,NYS,Chicago,IL,60654,SP,CAG
SHUTTERSTOCK INC,003382,2019,82569010,NYS,New York,NY,10118,SM,SSTK
CONSOLIDATED EDISON INC,003413,2019,20911510,NYS,New York,NY,10003,SP,ED
BIGLARI HOLDINGS INC,003424,2019,08986R30,NYS,San Antonio,TX,78257,EX,BH
CMS ENERGY CORP,003439,2019,12589610,NYS,Jackson,MI,49201,SP,CMS
COOPER TIRE & RUBBER CO,003502,2019,21683110,NYS,Findlay,OH,45840,EX,CTB
COOPER COS INC (THE),003504,2019,21664840,NYS,San Ramon,CA,94583,SP,COO
MOLSON COORS BEVERAGE CO,003505,2019,60871R20,NYS,Denver,CO,80202,SP,TAP
CORNING INC,003532,2019,21935010,NYS,Corning,NY,14831,SP,GLW
COUSINS PROPERTIES INC,003562,2019,22279550,NYS,Atlanta,GA,30326,MD,CUZ
CRACKER BARREL OLD CTRY STOR,003570,2019,22410J10,NAS,Lebanon,TN,37087,MD,CBRL
CRANE CO,003580,2019,22439910,NYS,Stamford,CT,06902,MD,CR
CROWN HOLDINGS INC,003619,2019,22836810,NYS,Yardley,PA,19067,EX,CCK
CUBIC CORP,003639,2019,22966910,NYS,San Diego,CA,92123,EX,CUB
CULLEN/FROST BANKERS INC,003643,2019,22989910,NYS,San Antonio,TX,78205,MD,CFR
CUMMINS INC,003650,2019,23102110,NYS,Columbus,IN,47202,SP,CMI
CURTISS-WRIGHT CORP,003662,2019,23156110,NYS,Davidson,NC,28036,MD,CW
WENDY'S CO,003708,2019,95058W10,NAS,Dublin,OH,43017,MD,WEN
DANA INC,003734,2019,23582520,NYS,Maumee,OH,43537,MD,DAN
DANAHER CORP,003735,2019,23585110,NYS,Washington,DC,20037,SP,DHR
TARGET CORP,003813,2019,87612E10,NYS,Minneapolis,MN,55403,SP,TGT
DEERE & CO,003835,2019,24419910,NYS,Moline,IL,61265,SP,DE
DELTA AIR LINES INC,003851,2019,24736170,NYS,Atlanta,GA,30320,SP,DAL
DELUXE CORP,003863,2019,24801910,NYS,Shoreview,MN,55126,SM,DLX
DTE ENERGY CO,003897,2019,23333110,NYS,Detroit,MI,48226,SP,DTE
ADTALEM GLOBAL EDUCATION INC,003905,2019,00737L10,NYS,Chicago,IL,60661,MD,ATGE
PYXUS INTERNATIONAL INC,003937,2019,74737V20,OTH,Morrisville,NC,27560,EX,PYYX
DIEBOLD NIXDORF INC,003946,2019,25365110,NYS,North Canton,OH,44720,SM,DBD
DILLARDS INC  -CL A,003964,2019,25406710,NYS,Little Rock,AR,72201,EX,DDS
DIODES INC,003969,2019,25454310,NAS,Plano,TX,75024,SM,DIOD
DISNEY (WALT) CO,003980,2019,25468710,NYS,Burbank,CA,91521,SP,DIS
DIXIE GROUP INC,004001,2019,25551910,NAS,Dalton,GA,30720,EX,DXYN
DOLLAR GENERAL CORP,004016,2019,25667710,NYS,Goodlettsville,TN,37072,SP,DG
DOMINION ENERGY INC,004029,2019,25746U10,NYS,Richmond,VA,23219,SP,D
DONALDSON CO INC,004036,2019,25765110,NYS,Bloomington,MN,55431,MD,DCI
DONNELLEY (R R) & SONS CO,004040,2019,25786720,NYS,Chicago,IL,60601,EX,RRD
DOVER CORP,004058,2019,26000310,NYS,Downers Grove,IL,60515,SP,DOV
DUPONT DE NEMOURS INC,004060,2019,26614N10,NYS,Wilmington,DE,19805,SP,DD
OMNICOM GROUP,004066,2019,68191910,NYS,New York,NY,10017,SP,OMC
ASCENA RETAIL GROUP INC,004072,2019,04351G20,OTH,Mahwah,NJ,07430,EX,ASNAQ
DUKE ENERGY CORP,004093,2019,26441C20,NYS,Charlotte,NC,28202,SP,DUK
DUN & BRADSTREET HOLDNGS INC,004094,2019,26484T10,NYS,Short Hills,NJ,07078,EX,DNB
FLOWSERVE CORP,004108,2019,34354P10,NYS,Irving,TX,75039,MD,FLS
DYCOM INDUSTRIES INC,004115,2019,26747510,NYS,Palm Beach Gardens,FL,33408,MD,DY
PERKINELMER INC,004145,2019,71404610,NYS,Waltham,MA,02451,SP,PKI
EASTGROUP PROPERTIES,004193,2019,27727610,NYS,Ridgeland,MS,39157,MD,EGP
EASTMAN KODAK CO,004194,2019,27746140,NYS,Rochester,NY,14650,EX,KODK
EATON CORP PLC,004199,2019,G2918310,NYS,Dublin,,4,SP,ETN
EATON VANCE CORP,004201,2019,27826510,NYS,Boston,MA,02110,EX,EV
ECOLAB INC,004213,2019,27886510,NYS,Saint Paul,MN,55102,SP,ECL
EL PASO ELECTRIC CO,004241,2019,28367785,NYS,El Paso,TX,79901,EX,EE
EMERSON ELECTRIC CO,004321,2019,29101110,NYS,Saint Louis,MO,63136,SP,EMR
WEATHERFORD INTL PLC,004367,2019,G4883311,NAS,Houston,TX,77056,EX,WFRD
ATMOS ENERGY CORP,004383,2019,04956010,NYS,Dallas,TX,75240,SP,ATO
ENNIS INC,004390,2019,29338910,NYS,Midlothian,TX,76065,EX,EBF
ENZO BIOCHEM INC,004418,2019,29410010,NYS,New York,NY,10022,EX,ENZ
EQUIFAX INC,004423,2019,29442910,NYS,Atlanta,GA,30309,SP,EFX
EQT CORP,004430,2019,26884L10,NYS,Pittsburgh,PA,15222,MD,EQT
NEWMARKET CORP,004462,2019,65158710,NYS,Richmond,VA,23219,MD,NEU
EXPEDITORS INTL WASH INC,004494,2019,30213010,NAS,Seattle,WA,98104,SP,EXPD
DMC GLOBAL INC,004497,2019,23291C10,NAS,Broomfield,CO,80021,SM,BOOM
INSTEEL INDUSTRIES,004498,2019,45774W10,NYS,Mount Airy,NC,27030,SM,IIIN
EXXON MOBIL CORP,004503,2019,30231G10,NYS,Irving,TX,75039,SP,XOM
FMC CORP,004510,2019,30249130,NYS,Philadelphia,PA,19104,SP,FMC
NEXTERA ENERGY INC,004517,2019,65339F10,NYS,Juno Beach,FL,33408,SP,NEE
FEDEX CORP,004598,2019,31428X10,NYS,Memphis,TN,38120,SP,FDX
FEDERAL NATIONAL MORTGA ASSN,004601,2019,31358610,OTH,Washington,DC,20005,EX,FNMA
FEDERAL REALTY INVESTMENT TR,004605,2019,31374720,NYS,North Bethesda,MD,20852,SP,FRT
FEDERAL SIGNAL CORP,004608,2019,31385510,NYS,Oak Brook,IL,60523,SM,FSS
MACY'S INC,004611,2019,55616P10,NYS,New York,NY,10001,SM,M
FERRO CORP,004622,2019,31540510,NYS,Mayfield Heights,OH,44124,SM,FOE
FIFTH THIRD BANCORP,004640,2019,31677310,NAS,Cincinnati,OH,45263,SP,FITB
REGIONS FINANCIAL CORP,004674,2019,7591EP10,NYS,Birmingham,AL,35203,SP,RF
TRUSTMARK CORP,004685,2019,89840210,NAS,Jackson,MS,39201,MD,TRMK
M & T BANK CORP,004699,2019,55261F10,NYS,Buffalo,NY,14203,SP,MTB
U S BANCORP,004723,2019,90297330,NYS,Minneapolis,MN,55402,SP,USB
FIRST HORIZON CORP,004737,2019,32051710,NYS,Memphis,TN,38103,MD,FHN
FLOWERS FOODS INC,004809,2019,34349810,NYS,Thomasville,GA,31757,MD,FLO
FLUOR CORP,004818,2019,34341210,NYS,Irving,TX,75039,MD,FLR
FORD MOTOR CO,004839,2019,34537086,NYS,Dearborn,MI,48126,SP,F
FRANKLIN ELECTRIC CO INC,004881,2019,35351410,NAS,Fort Wayne,IN,46809,SM,FELE
FRANKLIN RESOURCES INC,004885,2019,35461310,NYS,San Mateo,CA,94403,SP,BEN
FULLER (H. B.) CO,004926,2019,35969410,NYS,Saint Paul,MN,55110,SM,FUL
GATX CORP,004941,2019,36144810,NYS,Chicago,IL,60606,MD,GATX
ARTHUR J GALLAGHER & CO,004973,2019,36357610,NYS,Rolling Meadows,IL,60008,SP,AJG
TEGNA INC,004988,2019,87901J10,NYS,Tysons,VA,22102,MD,TGNA
GAP INC,004990,2019,36476010,NYS,San Francisco,CA,94105,SP,GPS
AEROJET ROCKETDYNE HOLDINGS,005018,2019,00780010,NYS,El Segundo,CA,90245,SM,AJRD
GENERAL DYNAMICS CORP,005046,2019,36955010,NYS,Reston,VA,20190,SP,GD
GENERAL ELECTRIC CO,005047,2019,36960410,NYS,Boston,MA,02210,SP,GE
GENERAL MILLS INC,005071,2019,37033410,NYS,Minneapolis,MN,55426,SP,GIS
GENERAL MOTORS CO,005073,2019,37045V10,NYS,Detroit,MI,48265,SP,GM
SPX CORP,005087,2019,78463510,NYS,Charlotte,NC,28277,SM,SPXC
GENESCO INC,005109,2019,37153210,NYS,Nashville,TN,37217,SM,GCO
GENTEX CORP,005116,2019,37190110,NAS,Zeeland,MI,49464,MD,GNTX
GENUINE PARTS CO,005125,2019,37246010,NYS,Atlanta,GA,30339,SP,GPC
GETTY REALTY CORP,005149,2019,37429710,NYS,Jericho,NY,11753,SM,GTY
GLATFELTER CORP,005179,2019,37732010,NYS,Charlotte,NC,28209,SM,GLT
GOODYEAR TIRE & RUBBER CO,005234,2019,38255010,NAS,Akron,OH,44316,MD,GT
GRACE (W R) & CO,005250,2019,38388F10,NYS,Columbia,MD,21044,EX,GRA
GRACO INC,005252,2019,38410910,NYS,Minneapolis,MN,55413,MD,GGG
GRAINGER (W W) INC,005256,2019,38480210,NYS,Lake Forest,IL,60045,SP,GWW
GREIF INC  -CL A,005338,2019,39762410,NYS,Delaware,OH,43015,MD,GEF
MONEYGRAM INTERNATIONAL INC,005342,2019,60935Y20,NAS,Dallas,TX,75201,EX,MGI
HALLIBURTON CO,005439,2019,40621610,NYS,Houston,TX,77032,SP,HAL
L3HARRIS TECHNOLOGIES INC,005492,2019,50243110,NYS,Melbourne,FL,32919,SP,LHX
HARSCO CORP,005496,2019,41586410,NYS,Camp Hill,PA,17011,SM,HSC
HASBRO INC,005518,2019,41805610,NAS,Pawtucket,RI,02861,SP,HAS
HAVERTY FURNITURE,005523,2019,41959610,NYS,Atlanta,GA,30342,SM,HVT
HAWAIIAN ELECTRIC INDS,005526,2019,41987010,NYS,Honolulu,HI,96813,MD,HE
HAWKINS INC,005530,2019,42026110,NAS,Roseville,MN,55113,SM,HWKN
HEALTHCARE SERVICES GROUP,005539,2019,42190610,NAS,Bensalem,PA,19020,MD,HCSG
WELLTOWER INC,005543,2019,95040Q10,NYS,Toledo,OH,43615,SP,WELL
HECLA MINING CO,005560,2019,42270410,NYS,Coeur d'Alene,ID,83815,EX,HL
KRAFT HEINZ CO,005568,2019,50075410,NAS,Pittsburgh,PA,15222,SP,KHC
HELEN OF TROY LTD,005572,2019,G4388N10,NAS,El Paso,TX,79912,MD,HELE
HELMERICH & PAYNE,005581,2019,42345210,NYS,Tulsa,OK,74119,SM,HP
HERSHEY CO,005597,2019,42786610,NYS,Hershey,PA,17033,SP,HSY
HP INC,005606,2019,40434L10,NYS,Palo Alto,CA,94304,SP,HPQ
HEXCEL CORP,005608,2019,42829110,NYS,Stamford,CT,06901,MD,HXL
HILL-ROM HOLDINGS INC,005639,2019,43147510,NYS,Chicago,IL,60601,MD,HRC
HILTON WORLDWIDE HOLDINGS,005643,2019,43300A20,NYS,McLean,VA,22102,SP,HLT
HOLLYFRONTIER CORP,005667,2019,43610610,NYS,Dallas,TX,75201,MD,HFC
HOME DEPOT INC,005680,2019,43707610,NYS,Atlanta,GA,30339,SP,HD
HNI CORP,005690,2019,40425110,NYS,Muscatine,IA,52761,SM,HNI
HORMEL FOODS CORP,005709,2019,44045210,NYS,Austin,MN,55912,SP,HRL
CENTERPOINT ENERGY INC,005742,2019,15189T10,NYS,Houston,TX,77002,SP,CNP
HOVNANIAN ENTRPRS INC  -CL A,005750,2019,44248740,NYS,Matawan,NJ,07747,EX,HOV
URSTADT BIDDLE PROPERTIES,005763,2019,91728620,NYS,Greenwich,CT,06830,SM,UBA
HUBBELL INC,005764,2019,44351060,NYS,Shelton,CT,06484,MD,HUBB
HUNT (JB) TRANSPRT SVCS INC,005783,2019,44565810,NAS,Lowell,AR,72745,SP,JBHT
HUNTINGTON BANCSHARES,005786,2019,44615010,NAS,Columbus,OH,43287,SP,HBAN
ITT INC,005860,2019,45073V10,NYS,White Plains,NY,10604,MD,ITT
RAYONIER INC,005862,2019,75490710,NYS,Yulee,FL,32097,MD,RYN
IDACORP INC,005870,2019,45110710,NYS,Boise,ID,83702,MD,IDA
ILLINOIS TOOL WORKS,005878,2019,45230810,NYS,Glenview,IL,60025,SP,ITW
TRANE TECHNOLOGIES PLC,005959,2019,G8994E10,NYS,Swords,,,SP,TT
RYERSON HOLDING CORP,005968,2019,78375410,NYS,Chicago,IL,60606,EX,RYI
AEGION CORP,005978,2019,00770F10,NAS,Saint Louis,MO,63005,EX,AEGN
GRIFFON CORP,005987,2019,39843310,NYS,New York,NY,10019,SM,GFF
INTEL CORP,006008,2019,45814010,NAS,Santa Clara,CA,95054,SP,INTC
INTERFACE INC,006034,2019,45866530,NAS,Atlanta,GA,30309,SM,TILE
INTL BUSINESS MACHINES CORP,006066,2019,45920010,NYS,Armonk,NY,10504,SP,IBM
INTL FLAVORS & FRAGRANCES,006078,2019,45950610,NYS,New York,NY,10019,SP,IFF
NAVISTAR INTERNATIONAL CORP,006081,2019,63934E10,NYS,Lisle,IL,60532,EX,NAV
INTERDIGITAL INC,006100,2019,45867G10,NAS,Wilmington,DE,19809,SM,IDCC
INTL PAPER CO,006104,2019,46014610,NYS,Memphis,TN,38197,SP,IP
INTERPUBLIC GROUP OF COS,006136,2019,46069010,NYS,New York,NY,10022,SP,IPG
INVACARE CORP,006158,2019,46120310,NYS,Elyria,OH,44035,SM,IVC
IPALCO ENTERPRISES INC,006178,2019,46261300,OTH,Indianapolis,IN,46204,EX,AES4
ANIXTER INTL INC,006196,2019,03529010,NYS,Glenview,IL,60026,EX,AXE
JACOBS ENGINEERING GROUP INC,006216,2019,46981410,NYS,Dallas,TX,75201,SP,J
EMCOR GROUP INC,006223,2019,29084Q10,NYS,Norwalk,CT,06851,MD,EME
JOHNSON & JOHNSON,006266,2019,47816010,NYS,New Brunswick,NJ,08933,SP,JNJ
JOHNSON CONTROLS INTL PLC,006268,2019,G5150210,NYS,Cork,,T12 X,SP,JCI
KLA CORP,006304,2019,48248010,NAS,Milpitas,CA,95035,SP,KLAC
KINDER MORGAN INC,006310,2019,49456B10,NYS,Houston,TX,77002,SP,KMI
KAMAN CORP,006326,2019,48354810,NYS,Bloomfield,CT,06002,SM,KAMN
KANSAS CITY SOUTHERN,006335,2019,48517030,NYS,Kansas City,MO,64105,SP,KSU
EVERGY INC,006338,2019,30034W10,NYS,Kansas City,MO,64105,SP,EVRG
KELLOGG CO,006375,2019,48783610,NYS,Battle Creek,MI,49016,SP,K
KELLY SERVICES INC  -CL A,006379,2019,48815220,NAS,Troy,MI,48084,SM,KELYA
KENNAMETAL INC,006386,2019,48917010,NYS,Pittsburgh,PA,15219,MD,KMT
KIMBERLY-CLARK CORP,006435,2019,49436810,NYS,Dallas,TX,75261,SP,KMB
KIRBY CORP,006461,2019,49726610,NYS,Houston,TX,77007,MD,KEX
KROGER CO,006502,2019,50104410,NYS,Cincinnati,OH,45202,SP,KR
KULICKE & SOFFA INDUSTRIES,006509,2019,50124210,NAS,Singapore,,55436,SM,KLIC
LSB INDUSTRIES INC,006528,2019,50216010,NYS,Oklahoma City,OK,73116,EX,LXU
LA-Z-BOY INC,006543,2019,50533610,NYS,Monroe,MI,48162,SM,LZB
SPIRE INC,006547,2019,84857L10,NYS,St. Louis,MO,63101,MD,SR
LAM RESEARCH CORP,006565,2019,51280710,NAS,Fremont,CA,94538,SP,LRCX
LANCASTER COLONY CORP,006573,2019,51384710,NAS,Westerville,OH,43082,MD,LANC
LAWSON PRODUCTS,006617,2019,52077610,NAS,Chicago,IL,60631,EX,LAWS
LEE ENTERPRISES INC,006639,2019,52376840,NAS,Davenport,IA,52807,EX,LEE
LEGGETT & PLATT INC,006649,2019,52466010,NYS,Carthage,MO,64836,SP,LEG
LEGG MASON INC,006653,2019,52490110,NYS,Baltimore,MD,21202,EX,LM
LENNAR CORP,006669,2019,52605710,NYS,Miami,FL,33172,SP,LEN
JEFFERIES FINANCIAL GRP INC,006682,2019,47233W10,NYS,New York,NY,10022,MD,JEF
LILLY (ELI) & CO,006730,2019,53245710,NYS,Indianapolis,IN,46285,SP,LLY
L BRANDS INC,006733,2019,50179710,NYS,Columbus,OH,43230,SP,LB
